Model,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Województwo,Rodzaj ogłoszenia,Producent,Czy cena do negocjacji,Roczny przebieg,Wiek
XC 60,Diesel,SUV,234000,Biały,2400.0,Automatyczna,Francja,190.0,4x4 (dołączany automatycznie),po lewej,82900.0,Dolnośląskie,Prywatne,Volvo,True,25026.737967914683,9
Seria 5,Diesel,Sedan,309000,Biały,1995.0,Manualna,Belgia,184.0,Na tylne koła,po lewej,40900.0,Małopolskie,Prywatne,BMW,True,21533.101045296306,14
ML Klasa,Benzyna,Kombi,273000,Srebrny,3200.0,Automatyczna,Brak danych,215.0,4x4 (stały),po lewej,16500.0,Małopolskie,Prywatne,Mercedes-Benz,True,10360.531309297949,26
A4,Diesel,Sedan,365000,Inny kolor,1968.0,Manualna,Belgia,120.0,Na przednie koła,po lewej,27400.0,Podkarpackie,Prywatne,Audi,True,23778.501628664635,15
Accord,LPG,Sedan,132500,Inny kolor,2400.0,Automatyczna,Polska,201.0,Na przednie koła,po lewej,59000.0,Lubelskie,Prywatne,Honda,False,9925.09363295887,13
CR-V,Benzyna,SUV,92800,Niebieski,1498.0,Automatyczna,Stany Zjednoczone,193.0,4x4 (dołączany automatycznie),po lewej,112900.0,Warmińsko-mazurskie,Prywatne,Honda,True,27701.492537314185,3
Passat,Diesel,Kombi,285500,Czarny,1968.0,Automatyczna,Niemcy,190.0,Brak danych,Brak danych,47000.0,Mazowieckie,Prywatne,Volkswagen,False,27584.541062802175,10
Superb,Diesel,Sedan,312000,Czarny,1968.0,Automatyczna,Polska,170.0,Na przednie koła,po lewej,28500.0,Dolnośląskie,Prywatne,Skoda,True,21742.16027874578,14
X6,Benzyna,SUV,177000,Czarny,4395.0,Automatyczna,Polska,408.0,4x4 (stały),po lewej,54000.0,Dolnośląskie,Prywatne,BMW,False,10825.688073394556,16
WRX,Benzyna,Hatchback,246000,Biały,2500.0,Manualna,Szwajcaria,320.0,4x4 (stały),po lewej,70555.0,Mazowieckie,Prywatne,Subaru,True,14178.674351585089,17
C-Crosser,Diesel,SUV,307000,Czarny,2176.0,Automatyczna,Polska,156.0,4x4 (dołączany ręcznie),po lewej,23800.0,Zachodniopomorskie,Prywatne,Citroen,True,20000.00000000012,15
Citigo,Benzyna,Hatchback,168100,Biały,999.0,Manualna,Polska,44.0,Na przednie koła,po lewej,10500.0,Zachodniopomorskie,Prywatne,Skoda,True,13611.336032388765,12
ASX,Diesel,SUV,230000,Srebrny,1800.0,Manualna,Polska,150.0,4x4 (dołączany ręcznie),Brak danych,32000.0,Mazowieckie,Prywatne,Mitsubishi,True,18623.481781376657,12
C3,Benzyna,Hatchback,167328,Czarny,1124.0,Manualna,Polska,44.0,Na przednie koła,po lewej,4200.0,Śląskie,Prywatne,Citroen,True,8222.50614250618,20
Qashqai,Diesel,SUV,179322,Czarny,1600.0,Manualna,Szwecja,130.0,Na przednie koła,po lewej,29900.0,Mazowieckie,Prywatne,Nissan,False,13432.359550561889,13
Kangoo,Diesel,Minivan,233000,Szary,1500.0,Manualna,Polska,90.0,Na przednie koła,po lewej,15000.0,Wielkopolskie,Prywatne,Renault,True,15179.15309446263,15
Ibiza,Diesel,Hatchback,165000,Czerwony,1896.0,Manualna,Polska,160.0,Na przednie koła,po lewej,16900.0,Kujawsko-pomorskie,Prywatne,Seat,True,7728.337236533991,21
159,Diesel,Sedan,260000,Czarny,1910.0,Automatyczna,Polska,190.0,Na przednie koła,po lewej,12000.0,Dolnośląskie,Prywatne,Alfa Romeo,True,14168.937329700342,18
Giulia,Benzyna,Sedan,145170,Czarny,2000.0,Automatyczna,Stany Zjednoczone,280.0,Na tylne koła,po lewej,77000.0,Świętokrzyskie,Prywatne,Alfa Romeo,True,17385.62874251516,8
Mondeo,Diesel,Hatchback,225000,Inny kolor,2000.0,Automatyczna,Niemcy,130.0,Na przednie koła,Brak danych,16500.0,Mazowieckie,Prywatne,Ford,False,12261.58038147145,18
Passat,Benzyna,Sedan,320000,Czarny,1800.0,Manualna,Polska,160.0,Na przednie koła,po lewej,11500.0,Śląskie,Prywatne,Volkswagen,True,20846.905537459406,15
Kuga,Benzyna,SUV,126000,Szary,1498.0,Manualna,Niemcy,150.0,Na przednie koła,po lewej,44000.0,Łódzkie,Prywatne,Ford,True,13475.935828877136,9
Avensis,Benzyna,Kombi,126000,Niebieski,1798.0,Automatyczna,Polska,150.0,Na przednie koła,Brak danych,58000.0,Małopolskie,Prywatne,Toyota,True,15089.8203592816,8
Golf,Benzyna,Hatchback,85000,Srebrny,1984.0,Automatyczna,Wielka Brytania,300.0,Brak danych,po prawej,85000.0,Opolskie,Prywatne,Volkswagen,False,15887.850467289989,5
Twingo,Benzyna,Coupe,217000,Biały,1149.0,Manualna,Niemcy,75.0,Brak danych,po lewej,14900.0,Podkarpackie,Firmowe,Renault,True,19118.942731277686,11
Xsara Picasso,Benzyna,Minivan,178000,Niebieski,1600.0,Manualna,Francja,109.0,Na przednie koła,po lewej,5400.0,Łódzkie,Prywatne,Citroen,True,9700.27247956408,18
E Klasa,Diesel,Sedan,200000,Żółty – Złoty,3222.0,Automatyczna,Belgia,203.0,Brak danych,Brak danych,35000.0,Podlaskie,Prywatne,Mercedes-Benz,True,9367.681498829079,21
i40,Benzyna,Kombi,239444,Szary,1600.0,Manualna,Brak danych,135.0,Na przednie koła,Brak danych,30999.0,Kujawsko-pomorskie,Prywatne,Hyundai,True,19388.178137651965,12
Toledo,Benzyna,Hatchback,134800,Inny kolor,1200.0,Manualna,Brak danych,105.0,Na przednie koła,po lewej,27000.0,Kujawsko-pomorskie,Prywatne,Seat,True,13024.154589372096,10
A5,Benzyna,Coupe,250000,Czarny,1984.0,Automatyczna,Szwajcaria,180.0,Na przednie koła,po lewej,34500.0,Lubelskie,Prywatne,Audi,True,17421.602787456555,14
A Klasa,Diesel,Hatchback,365500,Szary,1700.0,Manualna,Polska,90.0,Na przednie koła,po lewej,3000.0,Wielkopolskie,Prywatne,Mercedes-Benz,True,15010.266940451802,24
Vivaro,Diesel,Minibus,320500,Inny kolor,2500.0,Manualna,Niemcy,146.0,Na przednie koła,po lewej,17000.0,Mazowieckie,Prywatne,Opel,False,18472.622478386264,17
A6,Benzyna,Sedan,339000,Niebieski,4163.0,Automatyczna,Holandia,334.0,4x4 (stały),po lewej,22900.0,Lubelskie,Firmowe,Audi,True,17519.379844961324,19
Seria 4,Benzyna,Coupe,110000,Biały,2000.0,Automatyczna,Brak danych,245.0,Na tylne koła,po lewej,76000.0,Opolskie,Prywatne,BMW,True,10628.019323671591,10
Clio,Benzyna,Hatchback,134000,Czerwony,1149.0,Manualna,Polska,55.0,Na przednie koła,po lewej,2900.0,Wielkopolskie,Prywatne,Renault,True,5995.5257270693755,22
A4,Diesel,Kombi,374677,Czarny,2500.0,Manualna,Brak danych,150.0,4x4 (stały),po lewej,11500.0,Dolnośląskie,Prywatne,Audi,True,14780.157790927075,25
C4,Benzyna,Hatchback,356000,Inny kolor,1498.0,Manualna,Brak danych,110.0,Na przednie koła,po lewej,3500.0,Dolnośląskie,Firmowe,Citroen,True,16674.473067915762,21
Corsa,Benzyna,Hatchback,134500,Czarny,1398.0,Manualna,Niemcy,100.0,Na przednie koła,po lewej,22999.0,Opolskie,Firmowe,Opel,True,11850.220264317275,11
IS,Benzyna,Sedan,179000,Czarny,3456.0,Automatyczna,Stany Zjednoczone,311.0,Na tylne koła,po lewej,68900.0,Mazowieckie,Prywatne,Lexus,True,13408.239700374623,13
A5,Benzyna,Coupe,135000,Czarny,2000.0,Automatyczna,Polska,375.0,4x4 (stały),po lewej,61500.0,Mazowieckie,Prywatne,Audi,True,8794.788273615688,15
508,Benzyna,Sedan,256975,Inny kolor,1600.0,Manualna,Niemcy,156.0,Na przednie koła,po lewej,21900.0,Łódzkie,Prywatne,Peugeot,False,17907.665505226596,14
Seria 3,Diesel,Kombi,399000,Srebrny,1989.0,Manualna,Polska,163.0,Na tylne koła,po lewej,10900.0,Lubuskie,Prywatne,BMW,False,20620.155038759785,19
Mondeo,Benzyna,Kombi,286000,Inny kolor,1998.0,Automatyczna,Brak danych,240.0,Na przednie koła,po lewej,18900.0,Dolnośląskie,Firmowe,Ford,True,19930.313588850302,14
Megane,Diesel,Kombi,231000,Srebrny,1900.0,Manualna,Polska,130.0,Na przednie koła,po lewej,14900.0,Pomorskie,Prywatne,Renault,True,15048.85993485351,15
Berlingo,Diesel,Minivan,205825,Srebrny,1600.0,Manualna,Polska,102.0,Na przednie koła,po lewej,32000.0,Łódzkie,Prywatne,Citroen,False,24649.700598802665,8
Fiesta,Benzyna,Hatchback,246753,Czerwony,1242.0,Manualna,Polska,82.0,Na przednie koła,po lewej,14900.0,Opolskie,Firmowe,Ford,True,15091.926605504672,16
Edge,Diesel,SUV,76000,Czarny,2000.0,Automatyczna,Polska,238.0,4x4 (dołączany automatycznie),po lewej,120000.0,Śląskie,Prywatne,Ford,True,11968.503937008045,6
Corsa,Benzyna,Hatchback,124000,Czarny,1229.0,Manualna,Polska,87.0,Na przednie koła,po lewej,11900.0,Kujawsko-pomorskie,Prywatne,Opel,True,8078.17589576552,15
508,Diesel,Kombi,308200,Czarny,1997.0,Manualna,Francja,140.0,Na przednie koła,po lewej,27900.0,Mazowieckie,Prywatne,Peugeot,False,24955.465587044717,12
Punto Evo,LPG,Hatchback,200000,Niebieski,1368.0,Manualna,Polska,57.0,Na przednie koła,po lewej,13000.0,Śląskie,Prywatne,Fiat,True,13937.282229965245,14
A4,Diesel,Kombi,286125,Czarny,1968.0,Automatyczna,Niemcy,150.0,Na przednie koła,po lewej,42500.0,Łódzkie,Prywatne,Audi,False,23168.016194332155,12
Juke,Benzyna,SUV,98500,Czarny,1200.0,Manualna,Polska,115.0,Brak danych,Brak danych,35500.0,Śląskie,Prywatne,Nissan,True,11796.40718562887,8
