Numer VIN,Model,Rok produkcji,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Stan techniczny,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Lokalizacja,Województwo,Tytuł,Rodzaj ogłoszenia,Znalezione o,Link,ID,Producent,Opis,Czy cena do negocjacji
,Mustang,2016,LPG,Coupe,68000,Niebieski,3699.0,Nieuszkodzony,Automatyczna,Stany Zjednoczone,,Na tylne koła,po lewej,69900.0,Gostynin,Mazowieckie,Mustang 3.7 2016r lpg,Prywatne,2025-04-19 16:46:53.562475,https://www.olx.pl/d/oferta/mustang-3-7-2016r-lpg-CID5-ID15rLjn.html,996631237,Ford,"Ford Mustang 3.7 LPG
Dolot Roush
Wszystko sprawne
W moich rękach ok. 3lata
Przebieg 68000km
zimowany w Garażu
OPONY oraz OLEJ DO Wymiany
cena Netto plus VAT od fv
Do Negcjacji",True
,F350,1953,Diesel,Pickup,999,Czerwony,6900.0,Nieuszkodzony,Manualna,Stany Zjednoczone,350.0,Na tylne koła,po lewej,55000.0,Suwałki,Podlaskie,"Ford F600, silnik 6.9l, 1953 rok",Firmowe,2025-04-19 16:47:00.846945,https://www.olx.pl/d/oferta/ford-f600-silnik-6-9l-1953-rok-CID5-ID15myNL.html,995391509,Ford,"Ford F600 - Złomek
Auto zbudowane na bazie oryginalnej Forda który służył w straży pożarnej pod Nowym Jorkiem.
Napisy na drzwiach są zachowane z lat w których służył. Karoseria została zabezpieczona lakierem bezbarwnym. Posiadamy zdjęcia jego z lat 50 z straży.
-Silnik 6.9 idi z forda f250 1986r,
na koniec sezonu zaczęło coś puka (możliwe że wtryski) w tym roku jeszcze nie odpalany
-Zawieszenie pneumatyczne, dwa kompresory, zbiornik 50l
-Most Dodge ram 2019r
-Skrzynia Manualna
-Wspomaganie elektryczne
-Fotele Kubełkowe aluminiowe, dwie hydrołapy- jedna na przód -druga na tył
-Rama została kompleksowo odrestaurowana
-Samochód jest w trakcie rejestracji
Sprzedajemy z powodu budowy innych projektów
Proszę o kontakt telefoniczny, lub w wiadomości- jakbym nie odbierał proszę zostawić sms
Pozdrawiam Dominik",False
,A4,2012,Benzyna,Kombi,241000,Czarny,1800.0,Nieuszkodzony,Automatyczna,Polska,,Na przednie koła,po lewej,31500.0,Rzeszów,Podkarpackie,Audi a4b8 automat,Prywatne,2025-04-19 16:47:14.171725,https://www.olx.pl/d/oferta/audi-a4b8-automat-CID5-ID15p22N.html,995980573,Audi,"Witam sprzedam Audi a4 b8 lift 1.8 170km
Wnętrze bardzo dobrze utrzymane bez przetarć czy zarysowań silnik i skrzynia ładnie pracuje,ostatnim czasie był wymieniany olej akumulator łożyska,40 tyś temu rozrząd opłaty ważne prawie rok ,wiadomo nie jest nowy samochód swój wiek ma ale jest bardzo dobrym stanie,można pojechać na stację diagnostyczną można czujnikiem po sprawdzać mogę vin wysłać wiadomości,

wyposażenie

tempomat
climatronik
wielofunkcyjna kierownica
doświetlanie zakretów
doświetlenie dojścia do domu
czujnik deszczu
isofix x2
czujnik zmierzchu
czujniki parkowania tyl
elektryczne lusterka
cztery elektryczne szyby
bluetooth
Alufelgi 18
Radio
ABS
Podgrzewane lusterka
Podgrzewane fotele
Zapraszam osoby zainteresowane",False
,Q5,2011,Benzyna,SUV,198890,Szary,,Nieuszkodzony,Automatyczna,Polska,277.0,4x4 (stały),po lewej,35000.0,Hrubieszów,Lubelskie,Audi Q5 3.2bezyna 2011 rok,Prywatne,2025-04-19 16:47:28.153190,https://www.olx.pl/d/oferta/audi-q5-3-2bezyna-2011-rok-CID5-ID15oYVu.html,995968650,Audi,Sprzedam Audi Q5 2011r 3.2 bezyna więcej informacji pod 66xxx39xxx11xxx39x2xpolecam,True
,Pozostałe Lexus,1994,Benzyna,Coupe,400000,Zielony,4000.0,Uszkodzony,Automatyczna,Stany Zjednoczone,,Na tylne koła,po lewej,23500.0,Miastko,Pomorskie,Lexus SC 400 1994,Prywatne,2025-04-19 16:47:32.151277,https://www.olx.pl/d/oferta/lexus-sc-400-1994-CID5-ID15hoxV.html,994160448,Lexus,"Lexus SC 400 1994. Auto sproawdzone z USA z Californi. Stan widiczny na zdjeciach. Silnik chodzi idealnie, niesamowity dżwięk ( dolot aftermarket). Kotakt 60*******33.",True
,Golf,2009,LPG,Hatchback,295000,Czarny,1390.0,Uszkodzony,Manualna,,,,po lewej,11500.0,Żyrardów,Mazowieckie,golf 6 1.4 16v gaz,Prywatne,2025-04-19 16:47:33.602420,https://www.olx.pl/d/oferta/golf-6-1-4-16v-gaz-CID5-ID15obbz.html,995777385,Volkswagen,"Witam do sprzedania golf 6 1.4 16v lpg. Auto do małych poprawek. Jakieś otarcia , jakaś kosmetyka, błąd abs. Jeździ , skręca , hamuje użytkowany na co dzień . W razie pytań proszę o kontakt telefoniczny.",True
,Sportage,2016,Diesel,SUV,248000,Srebrny,1700.0,Nieuszkodzony,Automatyczna,,,,po lewej,57000.0,Zamość,Lubelskie,KIA Sportage IV (2016),Prywatne,2025-04-19 16:49:04.922204,https://www.olx.pl/d/oferta/kia-sportage-iv-2016-CID5-ID15pGDL.html,996136625,Kia,"Auto w bardzo dobrym stanie technicznym i wizualnym.
Wyposażenie:
• Skórzana tapicerka
• Elektrycznie regulowane fotele
• Panoramiczny dach
• Podgrzewana kierownica i fotele (przednie oraz tylne)
• Czujniki parkowania przód i tył
• Hak holowniczy
• Lampy ksenonowe z przodu, LED z tyłu
• Dwustrefowa klimatyzacja
• System keyless

Wymienione sprzęgło – gotowe do jazdy.

Kontakt: 6..6..2…6…0…7….7…0…3 (proszę o kontakt telefoniczny, nie odpisuję na SMS-y).",False
,Seria 3,2011,Benzyna,Coupe,260000,Brązowy – Beżowy,2000.0,Nieuszkodzony,Manualna,,,,po lewej,24999.0,Płońsk,Mazowieckie,BMW 320 Coupe E92 Ksenon Navi Sprowadzony Ładny,Prywatne,2025-04-19 16:49:06.885504,https://www.olx.pl/d/oferta/bmw-320-coupe-e92-ksenon-navi-sprowadzony-ladny-CID5-ID151imu.html,990323426,BMW,"Posiadam do sprzedania bardzo ładne BMW 320i E92 o mocy 170km.Auto bardzo ładnie sie prezentuje.Lakier czysty i zadbany bez szpachli czy oznak korozij. Technicznie jezdzi jak nowe!Zawieszenie sztywne bez luzow. Srodek auta jak nowy.
Mozliwosc sprawdzenia na dowolnej stacji diagnostycznej.

Na wyposażeniu min:
- Wspomaganie kierownicy
- Centralny zamek
- Elektryczne szyby
- Elektryczne lusterka
- Klimatronic
- Skorzana tapicerka
- Elektryczne fotele
- Nawigacja
- Alu felgi 17""

Auto świeżo sprowadzone w cenie przygotowane do rejestracji koszt 160zl.Mozliwosc powrotu na kolach lub transportu
Zapraszam do kontaktu 5 1 8 3 0 2 6 0 4
Do obejrzenia w Plonsku ul Spółdzielcza 1",False
,Kuga,2017,Diesel,SUV,185000,Czarny,,Nieuszkodzony,Automatyczna,Niemcy,180.0,4x4 (dołączany automatycznie),,81000.0,Chwałkowo,Wielkopolskie,"Ford kuga mk2 2017 r 4x4 st- line , full opcja !! POLECAM !!",Prywatne,2025-04-19 16:56:37.494692,https://www.olx.pl/d/oferta/ford-kuga-mk2-2017-r-4x4-st-line-full-opcja-polecam-CID5-ID15tvHw.html,997051729,Ford,"Witam , sprzedam pieknego forda kuga mk2 2017 2.0 180 disel w wersji wyposarzenia st-line wraz z automatyczna skrzynia biegow . Wizualnie samochód prezentuje sie bardzo atraktyjnie, technicznie wszystko bez mankamentow , wszystkie podzespoły pracuja jak należy , zawieszenie sztywne i niewybite prowadzi sie wzorowo , silnik pracuje równo i cicho , auto cale w orginale , zaden element nie był malowany , auto stoi na letnich oponach ktore kupilem nowe w 2023 roku
Wszystkie oleje plus filtry wymieniane co max 10tys km. plus olej przekladniowy ( skrzyni ) co 50 tys km na co podiadam papiery . Auto ma przejechane 185 tys . Od 0 do 130 tys km serwisowane w niemczech od 130 do aktualnego przebiegu juz u mnie . Posiadam wszystkie wpisy serwisowe , rorzad robiony przy przebiegu 127 tys rownierz w serwisie . Auto na full wyposarzeniu , rzadko spotkac tak wyposazony samochod
- naped 4x4
- swiatla led
-ambientowe oswietlenia wnetrza
-panoramiczny szyberdach
- skora + alkantara
- łopatki zmiany biegow
- klimatyzacja 2 strefowa
-nawigacja gps
- radar antykolozyjny
- rozpoznywanie znakow
- kamera cofania
- czujniki parkowania przod , tyl
- czujniki martwego pola
- asystent pasa ruchu
- asystent parkowania
-system start stop
- aktywny tempomat z mozliwoscia ustawienia odleglosci od poprzedzajacego auta
- el. Sterowany fotel kierowcy
- podgrzewane fotele przod
- webasto
- podgrzewana przednia i tylnia szyba
- otwieranie bagaznika elektrycznie i bez dotykowo
- multifukcyjna kierownica
- lusterko fotohromatyczne
- system nagłośnienia SONY
- zestaw głosnomowiacy
- zestaw multimedialny bluetooth
- radio cd z dotykowym wyswietlaczem
- wejscie aux , usb
- 4x elektryczna szyba
- el. Lusterka , skladane , podgrzewane
- 2x podlokietnik
- abs , esp, isofix, air bags,
- alufelgi 18
- halogeny
- czujnik deszczu , zmierzchu
- imobilaizer
- centralny zamek
- hak otwierany elektrycznie
- ubezpieczenie oraz przeglad waze do stycznia 2026
- wiecej zdjec moge wyslac

Napisalem najwazniejsze wyposazenie auta ale pewnie o czyms zapomnialem , bo naprawde jest co pisac , pelne wyposazenie mam wydrukowane wraz z cala historia oraz WIN -em do wgladu

Auto sprzedaje z czystym sumieniem , naprawde bez zadnego wkladu finansowego , wsiadac i jezdzic Godne polecenia , sprzedaje ze wzgledów prywatnych
Wiecej informacji pod numerem 78*****94
POLECAM!!!",True
,Fabia,2009,LPG,Kombi,240000,Żółty – Złoty,,Nieuszkodzony,Manualna,,,,po lewej,10990.0,Łódź Górna,Łódzkie,Skoda Fabia 2009 1.2 Benzyna +LPG | 70 Km |Klima|Hak|Zamiana,Firmowe,2025-04-19 16:57:07.739773,https://www.olx.pl/d/oferta/skoda-fabia-2009-1-2-benzyna-lpg-70-km-klima-hak-zamiana-CID5-ID15qVNk.html,996437050,Skoda,"Skoda Fabia 2009 1.2 Benzyna +LPG | 70 Km |Klima|Hak|Zamiana

Na sprzedaż Skoda Fabia z 2009 roku z niezawodnym silnikiem 1.2 benzyna o mocy 70 KM, dodatkowo wyposażona w instalację gazową ważną do 2028 roku – co znacząco obniża koszty codziennego użytkowania! Wersja kombi sprawia, że to idealny wybór zarówno do miasta, jak i na dłuższe trasy.

Silnik 1.2 Benzyna + LPG – odpala bez zarzutu, pracuje cicho i równo na obu paliwach
Zawieszenie w świetnym stanie – auto prowadzi się pewnie i komfortowo
W pełni sprawna elektronika – wszystkie funkcje działają bez zarzutu
Podgrzewane fotele – zwiększają komfort w chłodniejsze dni
Lakier w dobrym stanie – jedynie drobne ślady użytkowania
Wnętrze czyste i zadbane – bez przetarć

Skoda Fabia Kombi to praktyczne, oszczędne i niezawodne auto, które sprawdzi się w każdej sytuacji – idealna opcja na pierwsze auto lub jako ekonomiczny samochód rodzinny.

Skrzynia : Manualna
Silnik ; 1.2 Benzyna
Rok : 2009
Moc; 70 km
Przebieg : 240 000
Ubezpieczenie ; 15.05.2025
Przegląd : 23.08.2025
Sekwencyjna instalacja gazowa ważna do 2028 roku

WYPOSAŻENIE:
Klimatyzacja manualna
Wspomaganie kierownicy/reg.kierownicy
Podgrzewane fotele
Komputer pokładowy
Miejsce na kubeczki
EL,szyby
EL.lusterka/Podgrzewane lusterka
Airbag
Isofix
Regulacja pasów
Centralny zamek
Hak
Relingi dachowe

Serdecznie zapraszamy do kontaktu 57*******90 w celu umówienia się na jazdę próbną lub uzyskania dodatkowych informacji!

Adres Autokomisu ul. Zielona 39 95-054 Ksawerów

Czynne codziennie ;
Poniedziałek - Piątek 10-19
Sobota 10-19
Niedziela 10-16

Chętnie przyjmujemy auta w rozliczeniu!
Skupujemy auta za gotówkę!
Rezerwacja wybranego modelu możliwa jedynie poprzez wpłatę zadatku!",True
